,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
3561,6001401100,California,Alameda County,1,4156,2007,0,150.0,3.61,0,0,0,0,1,0,13.0,114615.0,0,1,0,1,0,0,0,1,,3607.0,,,1015.0,,3607.0,86.79,1015.0,24.42,424.0,10.19,234.0,5.64,1851.0,44.55,905.0,21.79,377.0,9.07,10.0,0.24,31.0,0.73,433.0,10.42,442.0,10.64,378.0,18.83,52.0,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.0,490.0,256.0,2152.0,1009.0,454.0,10.0,35.0,496.0,522.0,452.0,61.0
3562,6001401200,California,Alameda County,1,2416,1216,0,46.0,1.9,0,0,0,0,0,0,9.1,118700.0,0,1,0,1,0,0,0,0,,593.0,,,130.0,,593.0,24.55,130.0,5.39,79.0,3.27,55.0,2.28,367.0,15.17,114.0,4.7,49.0,2.03,1.0,0.04,3.0,0.13,60.0,2.49,60.0,2.49,17.0,1.37,8.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,330.0,200.0,1510.0,429.0,235.0,4.0,10.0,228.0,226.0,100.0,35.0
3563,6001401300,California,Alameda County,1,3528,1632,0,580.0,16.44,0,0,0,0,0,1,25.6,88750.0,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.0,380.0,720.0,1060.0,1292.0,674.0,17.0,27.0,458.0,488.0,601.0,239.0
3564,6001401400,California,Alameda County,1,4314,1396,0,508.0,11.78,0,0,0,0,0,1,28.6,35625.0,0,0,0,0,0,0,0,0,,125.0,,,64.0,,125.0,2.89,64.0,1.47,27.0,0.63,11.0,0.26,22.0,0.52,88.0,2.04,2.0,0.05,0.0,0.0,1.0,0.02,11.0,0.25,15.0,0.34,13.0,0.96,6.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541.0,894.0,341.0,792.0,2138.0,429.0,6.0,53.0,896.0,911.0,429.0,174.0
3565,6001401500,California,Alameda County,1,2630,940,0,415.0,15.78,0,0,0,0,0,1,18.4,68182.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.0,462.0,185.0,683.0,1413.0,185.0,17.0,10.0,322.0,406.0,347.0,126.0
3566,6001401600,California,Alameda County,1,2163,765,0,57.0,2.64,0,0,0,0,0,1,25.3,46250.0,0,0,0,0,0,0,0,0,,1.0,,,1.0,,1.0,0.06,1.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.0,528.0,112.0,446.0,1027.0,260.0,3.0,48.0,379.0,449.0,157.0,184.0
3567,6001401700,California,Alameda County,1,2667,1033,0,107.0,4.01,1,1,1,0,0,1,16.0,67500.0,1,1,1,1,1,0,0,0,947.0,1648.0,947.0,278.0,506.0,278.0,1648.0,61.78,506.0,18.98,353.0,13.22,73.0,2.74,491.0,18.42,635.0,23.82,161.0,6.04,8.0,0.3,18.0,0.67,334.0,12.52,371.0,13.91,68.0,6.63,25.0,2.45,947.0,35.52,278.0,10.41,215.0,8.06,34.0,1.27,276.0,10.33,394.0,14.79,88.0,3.31,8.0,0.3,7.0,0.25,175.0,6.55,202.0,7.57,41.0,3.99,15.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.0,536.0,119.0,889.0,908.0,271.0,9.0,38.0,552.0,683.0,113.0,54.0
3568,6001401800,California,Alameda County,1,1703,637,0,1.0,0.06,1,1,1,1,1,1,21.2,65987.0,1,1,1,1,1,0,0,1,1383.0,1703.0,1383.0,653.0,743.0,653.0,1703.0,100.0,743.0,43.63,456.0,26.78,116.0,6.81,301.0,17.67,993.0,58.31,53.0,3.11,7.0,0.41,11.0,0.65,338.0,19.85,329.0,19.32,222.0,34.8,153.0,24.02,1383.0,81.18,653.0,38.32,384.0,22.55,97.0,5.72,222.0,13.06,821.0,48.21,52.0,3.04,7.0,0.39,7.0,0.4,274.0,16.09,269.0,15.77,206.0,32.3,126.0,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.0,456.0,116.0,301.0,993.0,53.0,7.0,11.0,338.0,329.0,253.0,171.0
3569,6001402200,California,Alameda County,1,2385,849,0,15.0,0.63,1,1,1,1,1,1,27.1,41250.0,1,1,1,1,1,0,0,1,1806.0,2385.0,1806.0,779.0,1094.0,779.0,2385.0,100.0,1094.0,45.89,540.0,22.64,208.0,8.72,553.0,23.19,896.0,37.57,283.0,11.87,2.0,0.08,15.0,0.63,636.0,26.67,720.0,30.19,176.0,20.77,165.0,19.42,1806.0,75.73,779.0,32.68,429.0,17.98,118.0,4.96,442.0,18.54,640.0,26.83,217.0,9.09,2.0,0.07,12.0,0.49,494.0,20.71,580.0,24.31,111.0,13.11,120.0,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.0,540.0,208.0,553.0,896.0,283.0,2.0,15.0,636.0,720.0,179.0,166.0
3570,6001402400,California,Alameda County,1,2351,1028,0,22.0,0.94,0,1,0,1,1,1,11.8,41016.0,0,1,0,1,0,0,0,1,,1361.0,,,556.0,,1361.0,57.88,556.0,23.67,283.0,12.05,324.0,13.76,155.0,6.6,812.0,34.52,244.0,10.37,6.0,0.25,9.0,0.4,135.0,5.74,78.0,3.34,234.0,22.78,52.0,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.0,482.0,388.0,366.0,1371.0,329.0,6.0,12.0,267.0,220.0,362.0,97.0
3571,6001402500,California,Alameda County,1,1784,673,0,2.0,0.11,0,1,0,1,1,1,40.2,19485.0,0,1,0,1,0,0,0,1,0.0,1784.0,0.0,0.0,1089.0,0.0,1784.0,100.0,1089.0,61.02,570.0,31.95,112.0,6.28,156.0,8.74,1201.0,67.32,297.0,16.65,0.0,0.0,10.0,0.56,120.0,6.73,81.0,4.54,356.0,52.97,279.0,41.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,570.0,112.0,156.0,1201.0,297.0,0.0,10.0,120.0,81.0,382.0,294.0
3572,6001402600,California,Alameda County,1,1151,618,0,3.0,0.26,0,1,0,1,1,1,43.0,23516.0,0,1,0,1,0,0,0,1,,932.0,,,641.0,,932.0,81.01,641.0,55.68,95.0,8.28,272.0,23.64,119.0,10.37,334.0,29.0,414.0,35.97,4.0,0.34,3.0,0.26,58.0,5.07,59.0,5.15,228.0,36.93,67.0,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.0,128.0,295.0,145.0,346.0,581.0,4.0,4.0,71.0,66.0,264.0,78.0
3573,6001402700,California,Alameda County,1,1569,604,0,5.0,0.32,0,0,0,0,0,1,23.4,101563.0,0,0,0,0,0,0,0,0,,399.0,,,146.0,,399.0,25.41,146.0,9.3,108.0,6.89,30.0,1.94,49.0,3.11,255.0,16.24,34.0,2.16,0.0,0.0,2.0,0.13,59.0,3.78,57.0,3.66,24.0,4.03,20.0,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.0,398.0,103.0,292.0,894.0,163.0,0.0,8.0,212.0,243.0,163.0,94.0
3574,6001402800,California,Alameda County,1,3345,2025,0,311.0,9.3,0,0,0,0,0,1,29.3,97500.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.0,370.0,559.0,891.0,1395.0,714.0,14.0,26.0,305.0,276.0,1225.0,291.0
3575,6001402900,California,Alameda County,1,1434,921,0,80.0,5.58,0,0,0,0,0,1,24.8,19122.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,83.0,336.0,395.0,295.0,623.0,4.0,5.0,112.0,137.0,509.0,72.0
3576,6001403000,California,Alameda County,1,2788,1500,0,92.0,3.3,0,0,0,0,0,1,30.0,29375.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.0,204.0,1231.0,130.0,126.0,2472.0,1.0,4.0,55.0,36.0,693.0,186.0
3577,6001403100,California,Alameda County,1,2238,701,0,985.0,44.01,0,0,0,0,0,1,38.2,,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,122.0,130.0,560.0,687.0,756.0,5.0,5.0,225.0,321.0,173.0,68.0
3578,6001403300,California,Alameda County,1,4054,2054,0,47.0,1.16,0,0,0,0,0,1,29.2,36964.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.0,451.0,518.0,1143.0,471.0,2194.0,5.0,10.0,231.0,242.0,786.0,163.0
3579,6001403400,California,Alameda County,1,4146,2713,0,31.0,0.75,0,0,0,0,0,1,11.0,61277.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.0,298.0,774.0,1521.0,844.0,1352.0,13.0,17.0,399.0,387.0,984.0,126.0
3580,6001403501,California,Alameda County,1,4374,2547,0,33.0,0.75,0,0,0,0,0,1,16.7,49453.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,453.0,796.0,1560.0,1252.0,1044.0,12.0,23.0,483.0,440.0,903.0,98.0
3581,6001403502,California,Alameda County,1,1991,1171,0,18.0,0.9,0,0,0,0,0,1,9.9,81630.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,187.0,126.0,978.0,540.0,217.0,3.0,13.0,240.0,242.0,203.0,29.0
3582,6001403600,California,Alameda County,1,4482,2542,0,163.0,3.64,0,0,0,0,0,1,5.5,68909.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.0,503.0,384.0,1707.0,1724.0,559.0,7.0,17.0,468.0,436.0,275.0,132.0
3583,6001403701,California,Alameda County,1,2587,1686,0,54.0,2.09,0,0,0,0,0,0,11.1,111250.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0,183.0,423.0,1396.0,560.0,360.0,1.0,15.0,255.0,236.0,428.0,9.0
3584,6001403702,California,Alameda County,1,1724,1093,0,0.0,0.0,0,0,0,0,0,0,7.6,132337.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,132.0,215.0,1040.0,318.0,173.0,5.0,13.0,175.0,149.0,190.0,81.0
3585,6001403800,California,Alameda County,1,3461,1858,0,16.0,0.46,0,0,0,0,0,0,5.1,171125.0,0,1,0,1,0,0,0,0,,547.0,,,39.0,,547.0,15.81,39.0,1.12,123.0,3.56,79.0,2.28,408.0,11.79,42.0,1.2,55.0,1.59,3.0,0.09,0.0,0.0,40.0,1.14,31.0,0.89,8.0,0.41,1.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,423.0,341.0,2315.0,339.0,470.0,3.0,12.0,322.0,290.0,118.0,10.0
3586,6001403900,California,Alameda County,1,3584,2087,0,35.0,0.98,0,0,0,0,0,0,9.8,111071.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,341.0,394.0,2137.0,595.0,485.0,8.0,24.0,335.0,323.0,95.0,31.0
3587,6001404000,California,Alameda County,1,2819,1702,0,0.0,0.0,0,0,0,0,0,0,7.1,106250.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,253.0,242.0,1796.0,416.0,329.0,5.0,10.0,263.0,304.0,102.0,50.0
3588,6001404101,California,Alameda County,1,2929,1644,0,6.0,0.2,0,0,0,0,0,0,6.9,146515.0,0,0,0,0,0,0,0,0,,1.0,,,0.0,,1.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,325.0,400.0,2140.0,185.0,342.0,5.0,5.0,252.0,274.0,333.0,31.0
3589,6001404102,California,Alameda County,1,2283,1544,0,127.0,5.56,0,0,0,0,0,0,9.1,152708.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.0,101.0,706.0,1621.0,186.0,306.0,4.0,7.0,159.0,149.0,425.0,20.0
3590,6001404200,California,Alameda County,1,3483,1367,0,158.0,4.54,0,0,0,0,0,0,3.2,228864.0,0,1,0,1,0,0,0,0,,2052.0,,,145.0,,2052.0,58.92,145.0,4.17,530.0,15.21,314.0,9.0,1609.0,46.18,88.0,2.52,226.0,6.49,1.0,0.04,6.0,0.18,122.0,3.51,100.0,2.87,14.0,1.06,5.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,786.0,549.0,2656.0,178.0,405.0,2.0,15.0,227.0,187.0,27.0,8.0
